,DAY,HOUR,LAT,LON,MONTH,YEAR,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,visibility,windBearing,windSpeed
0,4,0,37.83967,-122.297,4,2018,52.97,0.31,46.33,0.78,partly-cloudy-night,0.0,0.0,,1017.0,Partly Cloudy,52.97,1522825200,9.36,210,6.84
1,4,1,37.83967,-122.297,4,2018,52.48,0.31,48.22,0.85,partly-cloudy-night,0.0,0.0,,1017.33,Partly Cloudy,52.48,1522828800,9.36,239,6.02
2,4,2,37.83967,-122.297,4,2018,52.69,0.31,47.41,0.82,partly-cloudy-night,0.0,0.0,,1017.54,Partly Cloudy,52.69,1522832400,9.36,240,5.53
3,4,3,37.83967,-122.297,4,2018,52.63,0.31,48.02,0.84,partly-cloudy-night,0.0,0.0,,1017.53,Partly Cloudy,52.63,1522836000,9.36,245,5.68
4,4,4,37.83967,-122.297,4,2018,52.28,,47.74,0.84,clear-night,0.0,0.0,,1017.02,Clear,52.28,1522839600,9.36,189,4.81
5,4,5,37.83967,-122.297,4,2018,52.7,0.75,48.14,0.84,partly-cloudy-night,0.0,0.0,,1016.81,Mostly Cloudy,52.7,1522843200,9.36,214,5.72
6,4,6,37.83967,-122.297,4,2018,52.6,,48.41,0.86,clear-night,0.0,0.0,,1017.02,Clear,52.6,1522846800,9.36,222,5.04
7,4,7,37.83967,-122.297,4,2018,52.41,,48.61,0.87,clear-day,0.0,0.0,,1017.24,Clear,52.41,1522850400,9.36,246,5.4
8,4,8,37.83967,-122.297,4,2018,52.75,,48.19,0.84,clear-day,0.0,0.0,,1017.93,Clear,52.75,1522854000,9.36,256,5.68
9,4,9,37.83967,-122.297,4,2018,54.06,0.31,48.07,0.8,partly-cloudy-day,0.0,0.0,,1018.08,Partly Cloudy,54.06,1522857600,9.36,236,4.67
10,4,10,37.83967,-122.297,4,2018,55.03,0.31,47.52,0.76,partly-cloudy-day,0.0,0.0,,1018.6,Partly Cloudy,55.03,1522861200,9.36,237,4.25
11,4,11,37.83967,-122.297,4,2018,56.34,0.75,47.65,0.73,partly-cloudy-day,0.0,0.0,,1018.94,Mostly Cloudy,56.34,1522864800,9.36,224,5.34
12,4,12,37.83967,-122.297,4,2018,57.14,,46.01,0.66,clear-day,0.0,0.0,,1019.53,Clear,57.14,1522868400,9.36,259,9.29
13,4,13,37.83967,-122.297,4,2018,58.2,,44.88,0.61,clear-day,0.0,0.0,,1019.25,Clear,58.2,1522872000,9.36,273,5.84
14,4,14,37.83967,-122.297,4,2018,59.02,0.31,45.4,0.61,partly-cloudy-day,0.0,0.0,,1018.78,Partly Cloudy,59.02,1522875600,9.36,262,8.19
15,4,15,37.83967,-122.297,4,2018,58.56,,47.41,0.66,clear-day,0.0,0.0,,1018.52,Clear,58.56,1522879200,9.36,258,9.86
16,4,16,37.83967,-122.297,4,2018,58.92,,46.33,0.63,clear-day,0.0,0.0,,1018.01,Clear,58.92,1522882800,9.36,249,6.8
17,4,17,37.83967,-122.297,4,2018,58.15,1.0,43.92,0.59,cloudy,0.0,0.0,,1018.0,Overcast,58.15,1522886400,9.36,261,9.86
18,4,18,37.83967,-122.297,4,2018,57.22,,44.52,0.62,clear-day,0.0,0.0,,1017.87,Clear,57.22,1522890000,9.36,266,11.28
19,4,19,37.83967,-122.297,4,2018,56.6,,41.65,0.57,clear-day,0.0,0.0,,1017.77,Clear,56.6,1522893600,9.36,268,8.79
20,4,20,37.83967,-122.297,4,2018,56.02,,41.12,0.57,clear-night,0.0,0.0,,1017.71,Clear,56.02,1522897200,9.36,276,6.19
21,4,21,37.83967,-122.297,4,2018,55.84,,41.8,0.59,clear-night,0.0,0.0,,1018.42,Clear,55.84,1522900800,9.36,253,7.18
22,4,22,37.83967,-122.297,4,2018,55.43,,41.11,0.58,clear-night,0.0,0.0,,1018.41,Clear,55.43,1522904400,9.36,234,3.39
23,4,23,37.83967,-122.297,4,2018,55.35,1.0,42.17,0.61,cloudy,0.0,0.0,,1019.15,Overcast,55.35,1522908000,9.36,232,7.45
24,5,0,37.83657,-122.2961,4,2018,55.54,,41.3,0.59,clear-night,0.0,0.0,,1019.07,Clear,55.54,1522911600,9.37,276,6.72
25,5,1,37.83657,-122.2961,4,2018,55.22,,41.21,0.59,clear-night,0.0,0.0,,1019.17,Clear,55.22,1522915200,9.37,275,6.59
26,5,2,37.83657,-122.2961,4,2018,55.07,,42.76,0.63,clear-night,0.0,0.0,,1018.93,Clear,55.07,1522918800,9.37,251,5.86
27,5,3,37.83657,-122.2961,4,2018,54.79,,40.87,0.59,clear-night,0.0,0.0,,1018.58,Clear,54.79,1522922400,9.37,248,6.68
28,5,4,37.83657,-122.2961,4,2018,54.79,,42.69,0.64,clear-night,0.0,0.0,,1018.26,Clear,54.79,1522926000,9.03,236,4.46
29,5,5,37.83657,-122.2961,4,2018,53.99,0.75,41.25,0.62,partly-cloudy-night,0.0,0.0,,1018.2,Mostly Cloudy,53.99,1522929600,9.37,242,6.83
30,5,6,37.83657,-122.2961,4,2018,54.02,,43.77,0.68,clear-night,0.0,0.0,,1018.18,Clear,54.02,1522933200,9.37,223,4.82
31,5,7,37.83657,-122.2961,4,2018,54.57,,43.1,0.65,clear-day,0.0,0.0,,1019.27,Clear,54.57,1522936800,9.37,231,5.15
32,5,8,37.83657,-122.2961,4,2018,54.67,,39.65,0.57,clear-day,0.0,0.0,,1019.14,Clear,54.67,1522940400,8.62,222,3.73
33,5,9,37.83657,-122.2961,4,2018,55.11,,42.33,0.62,clear-day,0.0,0.0,,1019.64,Clear,55.11,1522944000,9.37,241,5.57
34,5,10,37.83657,-122.2961,4,2018,56.4,,42.37,0.59,clear-day,0.0,0.0,,1019.77,Clear,56.4,1522947600,9.37,229,3.24
35,5,11,37.83657,-122.2961,4,2018,57.12,0.75,44.72,0.63,partly-cloudy-day,0.0,0.0,,1019.97,Mostly Cloudy,57.12,1522951200,9.37,262,4.96
36,5,12,37.83657,-122.2961,4,2018,57.67,,46.22,0.66,clear-day,0.0,0.0,,1019.79,Clear,57.67,1522954800,9.37,264,3.63
37,5,13,37.83657,-122.2961,4,2018,58.47,,47.34,0.66,clear-day,0.0,0.0,,1018.89,Clear,58.47,1522958400,9.37,220,2.67
38,5,14,37.83657,-122.2961,4,2018,58.43,0.31,47.24,0.66,partly-cloudy-day,0.0,0.0,,1018.74,Partly Cloudy,58.43,1522962000,9.37,252,4.31
39,5,15,37.83657,-122.2961,4,2018,58.4,,47.48,0.67,clear-day,0.0,0.0,,1018.79,Clear,58.4,1522965600,9.37,266,6.84
40,5,16,37.83657,-122.2961,4,2018,57.56,,48.0,0.7,clear-day,0.0,0.0,,1018.8,Clear,57.56,1522969200,9.37,282,8.83
41,5,17,37.83657,-122.2961,4,2018,57.49,1.0,48.61,0.72,cloudy,0.0,0.0,,1018.49,Overcast,57.49,1522972800,9.37,276,5.64
42,5,18,37.83657,-122.2961,4,2018,57.07,,49.04,0.75,clear-day,0.0,0.0,,1018.44,Clear,57.07,1522976400,9.37,266,4.5
43,5,19,37.83657,-122.2961,4,2018,56.81,,50.23,0.79,clear-day,0.0,0.0,,1017.8,Clear,56.81,1522980000,9.37,205,2.84
44,5,20,37.83657,-122.2961,4,2018,56.12,,51.5,0.84,clear-night,0.0074,0.74,rain,1017.89,Clear,56.12,1522983600,9.03,180,1.64
45,5,21,37.83657,-122.2961,4,2018,55.71,,52.78,0.9,rain,0.0442,1.0,rain,1018.11,Light Rain,55.71,1522987200,7.42,127,3.55
46,5,22,37.83657,-122.2961,4,2018,56.17,,53.93,0.92,rain,0.0347,1.0,rain,1017.95,Light Rain,56.17,1522990800,8.04,119,6.26
47,5,23,37.83657,-122.2961,4,2018,56.56,1.0,54.57,0.93,cloudy,0.0222,0.74,rain,1017.68,Overcast,56.56,1522994400,9.35,137,6.1
48,5,0,37.84656,-122.2985,4,2018,55.7,0.0,40.94,0.58,clear-night,0.0,0.0,,1019.0,Clear,55.7,1522911600,9.44,275,6.58
49,5,1,37.84656,-122.2985,4,2018,55.33,0.0,41.16,0.59,clear-night,0.0,0.0,,1019.1,Clear,55.33,1522915200,9.44,272,6.32
50,5,2,37.84656,-122.2985,4,2018,55.12,0.0,42.15,0.62,clear-night,0.0,0.0,,1018.86,Clear,55.12,1522918800,9.44,250,5.64
51,5,3,37.84656,-122.2985,4,2018,54.87,0.0,40.54,0.58,clear-night,0.0,0.0,,1018.53,Clear,54.87,1522922400,9.44,246,6.62
52,5,4,37.84656,-122.2985,4,2018,54.84,0.0,41.33,0.6,clear-night,0.0,0.0,,1018.19,Clear,54.84,1522926000,9.17,232,4.43
53,5,5,37.84656,-122.2985,4,2018,54.08,0.38,40.31,0.6,partly-cloudy-night,0.0,0.0,,1018.13,Partly Cloudy,54.08,1522929600,9.44,241,6.85
54,5,6,37.84656,-122.2985,4,2018,54.06,0.0,43.06,0.66,clear-night,0.0,0.0,,1018.12,Clear,54.06,1522933200,9.44,222,4.89
55,5,7,37.84656,-122.2985,4,2018,54.57,0.0,42.88,0.65,clear-day,0.0,0.0,,1019.2,Clear,54.57,1522936800,9.44,228,5.21
56,5,8,37.84656,-122.2985,4,2018,54.66,0.0,40.0,0.58,clear-day,0.0,0.0,,1019.08,Clear,54.66,1522940400,8.84,222,4.16
57,5,9,37.84656,-122.2985,4,2018,55.15,0.0,42.18,0.62,clear-day,0.0,0.0,,1019.58,Clear,55.15,1522944000,9.44,239,5.62
58,5,10,37.84656,-122.2985,4,2018,56.47,0.0,41.92,0.58,clear-day,0.0,0.0,,1019.71,Clear,56.47,1522947600,9.44,230,3.5
59,5,11,37.84656,-122.2985,4,2018,57.25,0.38,44.06,0.61,partly-cloudy-day,0.0,0.0,,1019.91,Partly Cloudy,57.25,1522951200,9.44,261,5.15
60,5,12,37.84656,-122.2985,4,2018,57.79,,45.86,0.64,clear-day,0.0,0.0,,1019.74,Clear,57.79,1522954800,9.44,264,3.73
61,5,13,37.84656,-122.2985,4,2018,58.6,,46.79,0.65,clear-day,0.0,0.0,,1018.82,Clear,58.6,1522958400,9.44,219,2.73
62,5,14,37.84656,-122.2985,4,2018,58.6,0.31,46.84,0.65,partly-cloudy-day,0.0,0.0,,1018.68,Partly Cloudy,58.6,1522962000,9.44,248,4.46
63,5,15,37.84656,-122.2985,4,2018,58.57,,47.21,0.66,clear-day,0.0,0.0,,1018.72,Clear,58.57,1522965600,9.44,264,6.82
64,5,16,37.84656,-122.2985,4,2018,57.74,0.31,47.56,0.69,partly-cloudy-day,0.0,0.0,,1018.74,Partly Cloudy,57.74,1522969200,9.44,279,8.56
65,5,17,37.84656,-122.2985,4,2018,57.61,1.0,48.5,0.72,cloudy,0.0,0.0,,1018.45,Overcast,57.61,1522972800,9.44,273,5.67
66,5,18,37.84656,-122.2985,4,2018,57.13,,49.04,0.74,clear-day,0.0,0.0,,1018.39,Clear,57.13,1522976400,9.44,263,4.41
67,5,19,37.84656,-122.2985,4,2018,56.84,,50.13,0.78,clear-day,0.0021,0.21,rain,1017.77,Clear,56.84,1522980000,9.44,206,2.92
68,5,20,37.84656,-122.2985,4,2018,56.11,,51.45,0.84,clear-night,0.01,0.79,rain,1017.85,Clear,56.11,1522983600,9.02,181,1.72
69,5,21,37.84656,-122.2985,4,2018,55.72,,52.8,0.9,rain,0.0473,1.0,rain,1018.07,Light Rain,55.72,1522987200,7.18,131,3.53
70,5,22,37.84656,-122.2985,4,2018,56.17,,53.98,0.92,rain,0.0399,1.0,rain,1017.92,Light Rain,56.17,1522990800,7.61,119,6.19
71,5,23,37.84656,-122.2985,4,2018,56.61,1.0,54.47,0.93,cloudy,0.0237,0.79,rain,1017.65,Overcast,56.61,1522994400,8.86,138,5.97
72,6,0,37.83657,-122.2961,4,2018,57.01,,55.2,0.94,clear-night,0.0073,0.73,rain,1017.19,Clear,57.01,1522998000,10.0,142,6.34
73,6,1,37.83657,-122.2961,4,2018,57.19,,55.38,0.94,clear-night,0.0,0.0,,1016.51,Clear,57.19,1523001600,8.36,129,7.08
74,6,2,37.83657,-122.2961,4,2018,56.93,,55.12,0.94,clear-night,0.0101,0.74,rain,1016.39,Clear,56.93,1523005200,5.01,132,7.38
75,6,3,37.83657,-122.2961,4,2018,56.84,,55.4,0.95,clear-night,0.0054,0.27,rain,1015.76,Clear,56.84,1523008800,4.46,135,7.2
76,6,4,37.83657,-122.2961,4,2018,56.68,,55.24,0.95,clear-night,0.0221,1.0,rain,1015.39,Clear,56.68,1523012400,5.25,143,8.25
77,6,5,37.83657,-122.2961,4,2018,56.9,1.0,55.46,0.95,rain,0.0578,1.0,rain,1015.34,Rain,56.9,1523016000,4.27,145,8.5
78,6,6,37.83657,-122.2961,4,2018,57.02,,55.58,0.95,rain,0.0443,1.0,rain,1014.26,Light Rain,57.02,1523019600,7.31,147,12.58
79,6,7,37.83657,-122.2961,4,2018,57.53,,56.33,0.96,clear-day,0.0221,1.0,rain,1014.41,Clear,57.53,1523023200,3.32,147,12.1
80,6,8,37.83657,-122.2961,4,2018,58.03,,56.98,0.96,rain,0.0795,0.73,rain,1013.58,Rain,58.0,1523026800,3.35,141,14.26
81,6,9,37.83657,-122.2961,4,2018,58.6,,57.34,0.96,wind,0.0173,1.0,rain,1012.93,Breezy,58.54,1523030400,10.0,140,16.35
82,6,10,37.83657,-122.2961,4,2018,59.1,,57.79,0.96,wind,0.014,0.47,rain,1012.85,Breezy,59.0,1523034000,2.13,144,15.23
83,6,11,37.83657,-122.2961,4,2018,59.16,1.0,57.53,0.94,rain,0.0315,1.0,rain,1012.86,Light Rain,59.11,1523037600,3.85,146,14.1
84,6,12,37.83657,-122.2961,4,2018,59.46,,57.13,0.92,rain,0.0375,0.47,rain,1012.99,Light Rain,59.46,1523041200,2.01,146,11.83
85,6,13,37.83657,-122.2961,4,2018,59.99,,57.79,0.93,rain,0.0709,1.0,rain,1012.65,Rain,59.95,1523044800,2.67,154,10.78
86,6,14,37.83657,-122.2961,4,2018,60.66,,58.4,0.93,rain,0.06,1.0,rain,1011.96,Rain,60.55,1523048400,2.67,151,12.61
87,6,15,37.83657,-122.2961,4,2018,60.81,,58.53,0.93,rain,0.0443,1.0,rain,1012.06,Light Rain,60.69,1523052000,2.45,161,13.11
88,6,16,37.83657,-122.2961,4,2018,61.14,,58.99,0.93,rain,0.0567,0.73,rain,1012.06,Rain,60.96,1523055600,3.14,156,10.24
89,6,17,37.83657,-122.2961,4,2018,60.75,1.0,58.64,0.93,rain,0.0748,0.73,rain,1011.76,Rain,60.61,1523059200,2.81,149,10.0
90,6,18,37.83657,-122.2961,4,2018,60.64,,58.86,0.94,rain,0.0652,1.0,rain,1011.88,Rain,60.46,1523062800,2.58,144,10.6
91,6,19,37.83657,-122.2961,4,2018,60.53,,58.76,0.94,rain,0.0571,1.0,rain,1012.11,Rain,60.35,1523066400,2.09,137,10.3
92,6,20,37.83657,-122.2961,4,2018,60.32,,58.89,0.96,rain,0.0511,1.0,rain,1012.26,Light Rain,60.11,1523070000,2.95,145,11.18
93,6,21,37.83657,-122.2961,4,2018,60.63,,59.33,0.96,rain,0.0737,1.0,rain,1012.52,Rain,60.36,1523073600,2.79,145,10.88
94,6,22,37.83657,-122.2961,4,2018,61.05,,59.71,0.96,clear-night,0.0201,1.0,rain,1012.31,Clear,60.74,1523077200,8.76,142,10.67
95,6,23,37.83657,-122.2961,4,2018,61.15,1.0,59.49,0.95,rain,0.0558,1.0,rain,1012.14,Rain,60.89,1523080800,3.56,156,9.14
96,6,0,37.84656,-122.2985,4,2018,57.02,,55.18,0.94,clear-night,0.012,0.78,rain,1017.14,Clear,57.02,1522998000,9.81,143,6.39
97,6,1,37.84656,-122.2985,4,2018,57.21,,55.37,0.94,clear-night,0.0021,0.21,rain,1016.48,Clear,57.21,1523001600,7.68,130,6.93
98,6,2,37.84656,-122.2985,4,2018,56.96,,55.12,0.94,clear-night,0.0101,0.79,rain,1016.36,Clear,56.96,1523005200,4.59,133,7.12
99,6,3,37.84656,-122.2985,4,2018,56.84,,55.46,0.95,clear-night,0.0106,0.43,rain,1015.72,Clear,56.84,1523008800,5.6,136,7.03
100,6,4,37.84656,-122.2985,4,2018,56.74,,55.06,0.94,clear-night,0.0195,1.0,rain,1015.34,Clear,56.74,1523012400,6.05,144,8.05
101,6,5,37.84656,-122.2985,4,2018,56.93,1.0,55.25,0.94,rain,0.0516,1.0,rain,1015.31,Light Rain,56.93,1523016000,4.64,146,8.28
102,6,6,37.84656,-122.2985,4,2018,57.07,,55.54,0.95,rain,0.0437,1.0,rain,1014.22,Light Rain,57.07,1523019600,7.88,147,12.32
103,6,7,37.84656,-122.2985,4,2018,57.55,,56.21,0.95,rain,0.0299,1.0,rain,1014.36,Light Rain,57.55,1523023200,3.06,147,11.82
104,6,8,37.84656,-122.2985,4,2018,58.04,,56.85,0.96,rain,0.0917,0.78,rain,1013.54,Rain,58.03,1523026800,3.71,142,13.82
105,6,9,37.84656,-122.2985,4,2018,58.64,,57.13,0.95,wind,0.0136,0.79,rain,1012.9,Breezy,58.62,1523030400,10.0,141,15.84
106,6,10,37.84656,-122.2985,4,2018,59.16,,57.6,0.95,clear-day,0.0109,0.36,rain,1012.8,Clear,59.1,1523034000,2.52,144,14.84
107,6,11,37.84656,-122.2985,4,2018,59.24,1.0,57.41,0.94,rain,0.0247,0.79,rain,1012.83,Light Rain,59.22,1523037600,3.91,145,13.7
108,6,12,37.84656,-122.2985,4,2018,59.54,,57.1,0.92,rain,0.0354,0.57,rain,1012.96,Light Rain,59.54,1523041200,2.01,146,11.49
109,6,13,37.84656,-122.2985,4,2018,60.04,,57.59,0.92,rain,0.058,1.0,rain,1012.62,Rain,60.03,1523044800,3.17,154,10.62
110,6,14,37.84656,-122.2985,4,2018,60.72,,58.34,0.92,rain,0.047,0.79,rain,1011.9,Light Rain,60.62,1523048400,2.75,153,12.92
111,6,15,37.84656,-122.2985,4,2018,60.87,,58.47,0.92,rain,0.0392,1.0,rain,1012.01,Light Rain,60.76,1523052000,2.99,161,13.06
112,6,16,37.84656,-122.2985,4,2018,61.18,,58.88,0.93,rain,0.0526,0.78,rain,1012.01,Light Rain,61.02,1523055600,2.92,157,10.03
113,6,17,37.84656,-122.2985,4,2018,60.85,1.0,58.72,0.93,rain,0.0693,0.78,rain,1011.72,Rain,60.7,1523059200,3.5,149,9.83
114,6,18,37.84656,-122.2985,4,2018,60.7,,58.72,0.94,rain,0.0539,1.0,rain,1011.84,Rain,60.55,1523062800,4.14,145,10.33
115,6,19,37.84656,-122.2985,4,2018,60.58,,58.62,0.94,rain,0.0473,1.0,rain,1012.07,Light Rain,60.43,1523066400,2.07,137,9.93
116,6,20,37.84656,-122.2985,4,2018,60.38,,58.83,0.95,rain,0.0553,1.0,rain,1012.21,Rain,60.18,1523070000,2.72,145,10.86
117,6,21,37.84656,-122.2985,4,2018,60.67,,59.4,0.97,rain,0.0877,1.0,rain,1012.47,Rain,60.39,1523073600,3.05,146,10.51
118,6,22,37.84656,-122.2985,4,2018,61.04,,59.57,0.96,clear-night,0.0222,1.0,rain,1012.26,Clear,60.76,1523077200,8.39,142,10.51
119,6,23,37.84656,-122.2985,4,2018,61.13,1.0,59.25,0.94,rain,0.0463,1.0,rain,1012.1,Light Rain,60.91,1523080800,4.71,157,8.86
120,7,0,37.83657,-122.2961,4,2018,60.98,,59.17,0.94,rain,0.0641,1.0,rain,1011.64,Rain,60.76,1523084400,6.36,166,8.63
121,7,1,37.83657,-122.2961,4,2018,60.51,,58.39,0.93,rain,0.0755,1.0,rain,1011.72,Rain,60.4,1523088000,7.0,157,8.33
122,7,2,37.83657,-122.2961,4,2018,60.78,,58.99,0.94,rain,0.1194,1.0,rain,1011.5,Rain,60.58,1523091600,5.18,172,8.11
123,7,3,37.83657,-122.2961,4,2018,60.67,,59.06,0.95,rain,0.1476,1.0,rain,1010.8,Rain,60.45,1523095200,3.79,157,8.81
124,7,4,37.83657,-122.2961,4,2018,60.61,,59.16,0.96,rain,0.1365,1.0,rain,1010.83,Rain,60.37,1523098800,2.53,167,8.84
125,7,5,37.83657,-122.2961,4,2018,59.49,1.0,57.6,0.94,rain,0.1769,1.0,rain,1011.65,Rain,59.44,1523102400,3.42,214,7.43
126,7,6,37.83657,-122.2961,4,2018,58.12,,56.73,0.95,rain,0.0549,1.0,rain,1012.22,Rain,58.12,1523106000,8.3,255,9.58
127,7,7,37.83657,-122.2961,4,2018,57.62,,55.86,0.94,clear-day,0.0153,1.0,rain,1012.38,Clear,57.62,1523109600,10.0,256,9.2
128,7,8,37.83657,-122.2961,4,2018,57.34,,55.76,0.94,clear-day,0.0,0.0,,1013.08,Clear,57.34,1523113200,9.35,261,7.62
129,7,9,37.83657,-122.2961,4,2018,58.09,,56.13,0.93,clear-day,0.0,0.0,,1013.95,Clear,58.09,1523116800,8.83,266,6.75
130,7,10,37.83657,-122.2961,4,2018,58.95,,56.23,0.91,clear-day,0.0,0.0,,1015.11,Clear,58.95,1523120400,8.54,269,11.78
131,7,11,37.83657,-122.2961,4,2018,59.66,0.75,53.69,0.81,partly-cloudy-day,0.0,0.0,,1016.13,Mostly Cloudy,59.66,1523124000,9.06,272,11.95
132,7,12,37.83657,-122.2961,4,2018,60.15,,52.28,0.75,clear-day,0.0,0.0,,1016.6,Clear,60.15,1523127600,9.48,273,11.56
133,7,13,37.83657,-122.2961,4,2018,60.57,,52.41,0.74,clear-day,0.0,0.0,,1016.97,Clear,60.57,1523131200,9.03,268,11.03
134,7,14,37.83657,-122.2961,4,2018,60.76,0.31,53.03,0.76,partly-cloudy-day,0.0,0.0,,1017.41,Partly Cloudy,60.76,1523134800,8.85,271,11.71
135,7,15,37.83657,-122.2961,4,2018,60.49,0.31,51.7,0.73,partly-cloudy-day,0.0,0.0,,1017.7,Partly Cloudy,60.49,1523138400,9.37,266,12.87
136,7,16,37.83657,-122.2961,4,2018,60.46,0.31,51.44,0.72,partly-cloudy-day,0.0,0.0,,1018.0,Partly Cloudy,60.46,1523142000,8.75,262,11.93
137,7,17,37.83657,-122.2961,4,2018,60.25,0.47,50.55,0.7,partly-cloudy-day,0.0,0.0,,1018.05,Partly Cloudy,60.25,1523145600,9.37,265,12.68
138,7,18,37.83657,-122.2961,4,2018,60.04,0.31,50.09,0.7,partly-cloudy-day,0.0,0.0,,1018.21,Partly Cloudy,60.04,1523149200,9.37,269,12.58
139,7,19,37.83657,-122.2961,4,2018,58.64,0.31,50.6,0.75,partly-cloudy-day,0.0,0.0,,1018.69,Partly Cloudy,58.64,1523152800,9.37,270,10.89
140,7,20,37.83657,-122.2961,4,2018,57.52,0.31,51.77,0.81,partly-cloudy-night,0.0,0.0,,1018.98,Partly Cloudy,57.52,1523156400,9.03,270,9.51
141,7,21,37.83657,-122.2961,4,2018,56.63,0.31,52.32,0.85,partly-cloudy-night,0.0,0.0,,1019.42,Partly Cloudy,56.63,1523160000,9.37,273,8.28
142,7,22,37.83657,-122.2961,4,2018,56.49,0.31,52.39,0.86,partly-cloudy-night,0.0,0.0,,1020.41,Partly Cloudy,56.49,1523163600,9.37,273,8.75
143,7,23,37.83657,-122.2961,4,2018,56.0,0.31,51.84,0.86,partly-cloudy-night,0.0,0.0,,1020.76,Partly Cloudy,56.0,1523167200,9.37,276,5.49
144,7,0,37.84656,-122.2985,4,2018,60.98,,58.98,0.94,rain,0.0552,1.0,rain,1011.59,Rain,60.8,1523084400,7.14,166,8.55
145,7,1,37.84656,-122.2985,4,2018,60.7,,58.37,0.92,rain,0.0635,1.0,rain,1011.54,Rain,60.6,1523088000,7.0,160,8.4
146,7,2,37.84656,-122.2985,4,2018,60.87,,59.01,0.94,rain,0.1258,1.0,rain,1011.4,Rain,60.68,1523091600,4.93,172,8.22
147,7,3,37.84656,-122.2985,4,2018,60.75,,59.04,0.95,rain,0.1601,1.0,rain,1010.73,Rain,60.54,1523095200,4.47,158,8.91
148,7,4,37.84656,-122.2985,4,2018,60.65,,58.95,0.95,rain,0.1124,1.0,rain,1010.76,Rain,60.45,1523098800,3.26,168,8.83
149,7,5,37.84656,-122.2985,4,2018,59.57,1.0,57.66,0.94,rain,0.1629,1.0,rain,1011.58,Rain,59.52,1523102400,3.54,215,7.6
150,7,6,37.84656,-122.2985,4,2018,58.26,,56.46,0.94,rain,0.0565,1.0,rain,1012.12,Rain,58.26,1523106000,8.64,252,9.41
151,7,7,37.84656,-122.2985,4,2018,57.71,,55.6,0.93,clear-day,0.0143,1.0,rain,1012.3,Clear,57.71,1523109600,10.0,254,9.0
152,7,8,37.84656,-122.2985,4,2018,57.44,,55.34,0.93,clear-day,0.0,0.0,,1013.0,Clear,57.44,1523113200,9.48,259,7.24
153,7,9,37.84656,-122.2985,4,2018,58.21,0.31,55.79,0.92,partly-cloudy-day,0.0,0.0,,1013.88,Partly Cloudy,58.21,1523116800,9.08,262,6.67
154,7,10,37.84656,-122.2985,4,2018,59.12,0.31,55.41,0.88,partly-cloudy-day,0.0,0.0,,1015.05,Partly Cloudy,59.12,1523120400,8.85,267,11.36
155,7,11,37.84656,-122.2985,4,2018,59.91,0.75,53.21,0.79,partly-cloudy-day,0.0,0.0,,1016.06,Mostly Cloudy,59.91,1523124000,9.25,272,11.5
156,7,12,37.84656,-122.2985,4,2018,60.37,,51.96,0.74,clear-day,0.0,0.0,,1016.52,Clear,60.37,1523127600,9.58,272,11.02
157,7,13,37.84656,-122.2985,4,2018,60.76,,51.94,0.73,clear-day,0.0,0.0,,1016.89,Clear,60.76,1523131200,9.17,267,10.63
158,7,14,37.84656,-122.2985,4,2018,60.96,0.31,52.21,0.73,partly-cloudy-day,0.0,0.0,,1017.33,Partly Cloudy,60.96,1523134800,9.02,268,11.45
159,7,15,37.84656,-122.2985,4,2018,60.77,0.31,50.95,0.7,partly-cloudy-day,0.0,0.0,,1017.62,Partly Cloudy,60.77,1523138400,9.44,264,12.59
160,7,16,37.84656,-122.2985,4,2018,60.65,0.31,50.77,0.7,partly-cloudy-day,0.0,0.0,,1017.92,Partly Cloudy,60.65,1523142000,8.93,259,11.79
161,7,17,37.84656,-122.2985,4,2018,60.46,0.48,49.82,0.68,partly-cloudy-day,0.0,0.0,,1017.97,Partly Cloudy,60.46,1523145600,9.44,262,12.38
162,7,18,37.84656,-122.2985,4,2018,60.18,0.31,49.81,0.69,partly-cloudy-day,0.0,0.0,,1018.13,Partly Cloudy,60.18,1523149200,9.44,267,12.43
163,7,19,37.84656,-122.2985,4,2018,58.76,0.31,49.82,0.72,partly-cloudy-day,0.0,0.0,,1018.62,Partly Cloudy,58.76,1523152800,9.44,269,10.72
164,7,20,37.84656,-122.2985,4,2018,57.61,0.2,50.78,0.78,clear-night,0.0,0.0,,1018.91,Clear,57.61,1523156400,9.17,269,9.28
165,7,21,37.84656,-122.2985,4,2018,56.68,0.2,51.85,0.84,clear-night,0.0,0.0,,1019.36,Clear,56.68,1523160000,9.44,271,8.1
166,7,22,37.84656,-122.2985,4,2018,56.51,0.23,51.95,0.85,clear-night,0.0,0.0,,1020.36,Clear,56.51,1523163600,9.44,272,8.41
167,7,23,37.84656,-122.2985,4,2018,55.97,0.23,51.53,0.85,clear-night,0.0,0.0,,1020.72,Clear,55.97,1523167200,9.44,275,5.35
